City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
60,Hilo,19.73,-155.09,75.2,83,90,4.7,US,2020-07-16 09:22:09
61,Nemuro,43.32,145.57,59.0,82,75,6.93,JP,2020-07-16 09:22:09
62,Nederland,29.97,-93.99,80.6,100,1,3.36,US,2020-07-16 09:22:10
63,Hasaki,35.73,140.83,71.6,78,75,6.93,JP,2020-07-16 09:17:56
64,Tuatapere,-46.13,167.68,39.0,83,45,3.0,NZ,2020-07-16 09:20:03
65,Talnakh,69.49,88.4,53.6,66,100,20.13,RU,2020-07-16 09:22:10
66,Turukhansk,65.82,87.98,52.9,92,99,11.61,RU,2020-07-16 09:22:10
67,Mehriz,31.59,54.43,96.8,19,40,4.7,IR,2020-07-16 09:22:11
68,Albany,42.6,-73.97,70.0,86,95,7.9,US,2020-07-16 09:22:11
69,Sao Sebastiao,-23.76,-45.41,63.3,81,90,2.39,BR,2020-07-16 09:22:11
70,Aleppo,36.25,37.5,99.03,21,0,10.09,SY,2020-07-16 09:22:11
71,Hithadhoo,-0.6,73.08,83.84,70,84,2.17,MV,2020-07-16 09:22:11
72,Avigliana,45.08,7.4,78.01,64,21,3.36,IT,2020-07-16 09:22:12
73,Torbay,47.67,-52.73,50.0,100,90,20.8,CA,2020-07-16 09:22:12
74,Hami,42.8,93.45,93.88,14,29,15.48,CN,2020-07-16 09:19:37
75,Vrede,-27.43,29.17,61.47,21,0,2.37,ZA,2020-07-16 09:22:12
76,Maputo,-25.97,32.59,70.0,43,40,11.41,MZ,2020-07-16 09:22:13
77,Pedasi,7.53,-80.03,78.89,85,76,13.15,PA,2020-07-16 09:22:13
78,Havre-Saint-Pierre,50.23,-63.6,46.4,93,1,4.7,CA,2020-07-16 09:22:13
79,Lebu,-37.62,-73.65,49.46,88,49,10.8,CL,2020-07-16 09:22:13
80,Khatanga,71.97,102.5,47.91,93,100,13.33,RU,2020-07-16 09:19:43
81,Asyut,27.18,31.18,84.2,54,0,12.75,EG,2020-07-16 09:20:44
82,Tura,25.52,90.22,85.33,76,77,4.94,IN,2020-07-16 09:22:14
83,Tiksi,71.69,128.87,36.36,85,30,19.71,RU,2020-07-16 09:22:14
84,Ambon,-3.7,128.18,77.0,16,51,12.77,ID,2020-07-16 09:22:14
85,Port Alfred,-33.59,26.89,63.55,28,0,2.57,ZA,2020-07-16 09:22:15
86,Karratha,-20.74,116.85,74.48,38,0,12.41,AU,2020-07-16 09:18:23
87,Cedral,23.8,-100.73,65.23,75,21,11.21,MX,2020-07-16 09:22:15
88,Kyaikto,17.3,97.02,83.88,78,97,13.47,MM,2020-07-16 09:22:15
89,Baykit,61.67,96.37,56.05,85,100,5.91,RU,2020-07-16 09:22:15
90,Zharkent,44.16,80.0,97.29,11,12,0.4,KZ,2020-07-16 09:22:16
91,Temir,49.14,57.13,98.06,19,2,11.97,KZ,2020-07-16 09:22:16
92,Beringovskiy,63.05,179.32,55.08,75,0,1.36,RU,2020-07-16 09:22:16
93,Wageningen,51.97,5.67,63.0,93,90,2.24,NL,2020-07-16 09:22:16
94,Bilma,18.69,12.92,95.54,26,3,5.64,NE,2020-07-16 09:18:39
95,Kirakira,-10.45,161.92,77.77,83,91,9.26,SB,2020-07-16 09:22:17
96,Deputatskiy,69.3,139.9,45.84,61,79,10.11,RU,2020-07-16 09:22:17
97,Fayaoue,-20.65,166.53,72.41,54,37,6.38,NC,2020-07-16 09:22:17
98,Sandwick,60.0,-1.25,53.6,100,90,14.99,GB,2020-07-16 09:22:17
99,Sao Gabriel Da Cachoeira,-0.13,-67.09,70.18,97,91,0.47,BR,2020-07-16 09:22:18
100,Road Town,18.42,-64.62,79.0,91,0,8.01,VG,2020-07-16 09:22:18
101,Prenzlau,53.32,13.87,64.0,77,75,6.93,DE,2020-07-16 09:22:18
102,Foz,43.57,-7.25,70.0,73,83,13.0,ES,2020-07-16 09:22:18
103,Aklavik,68.22,-135.01,51.8,87,90,11.41,CA,2020-07-16 09:22:18
104,Tilichiki,60.47,166.1,49.95,100,100,3.15,RU,2020-07-16 09:22:19
105,Cayenne,4.93,-52.33,73.4,100,20,6.64,GF,2020-07-16 09:17:42
106,Lavrentiya,65.58,-171.0,46.51,89,55,1.88,RU,2020-07-16 09:22:19
107,Magdalena,14.2,121.43,91.99,61,17,5.99,PH,2020-07-16 09:22:19
108,Norman Wells,65.28,-126.83,59.0,93,90,2.24,CA,2020-07-16 09:20:06
109,Dawlatabad,36.41,64.91,105.24,9,21,6.78,AF,2020-07-16 09:22:20
110,Port Hedland,-20.32,118.57,73.4,40,0,9.17,AU,2020-07-16 09:22:20
111,Ponta Do Sol,32.67,-17.1,73.4,56,20,13.87,PT,2020-07-16 09:22:21
112,Bakchar,57.02,82.07,87.8,47,0,10.65,RU,2020-07-16 09:22:21
113,Tezu,27.92,96.17,77.86,86,100,2.68,IN,2020-07-16 09:22:21
114,Karpathos,35.51,27.21,80.6,54,20,20.8,GR,2020-07-16 09:22:21
115,Grand Island,40.92,-98.34,66.2,88,1,5.82,US,2020-07-16 09:22:22
116,Uvat,59.14,68.9,94.91,36,0,9.17,RU,2020-07-16 09:22:22
117,Aljezur,37.32,-8.8,86.31,35,0,3.09,PT,2020-07-16 09:22:22
118,Iskateley,67.68,53.15,56.35,61,89,6.22,RU,2020-07-16 09:22:22
119,Phalaborwa,-23.94,31.14,62.6,36,6,8.05,ZA,2020-07-16 09:22:22
120,Tamandare,-8.76,-35.1,75.24,83,32,11.63,BR,2020-07-16 09:20:04
121,Sault Sainte Marie,46.52,-84.33,60.8,93,1,6.02,CA,2020-07-16 09:20:16
122,Mahebourg,-20.41,57.7,75.2,69,75,12.75,MU,2020-07-16 09:22:23
123,Tuktoyaktuk,69.45,-133.04,42.64,88,100,9.17,CA,2020-07-16 09:22:23
124,Luau,-10.71,22.22,76.26,19,27,11.1,AO,2020-07-16 09:22:24
125,Morro Bay,35.37,-120.85,57.99,92,13,1.3,US,2020-07-16 09:22:24
126,Georgetown,5.41,100.34,84.2,94,20,9.17,MY,2020-07-16 09:21:45
127,Te Anau,-45.42,167.72,30.87,96,51,1.52,NZ,2020-07-16 09:22:24
128,Constitucion,-35.33,-72.42,52.79,87,97,12.84,CL,2020-07-16 09:22:24
129,Airai,-8.93,125.41,63.0,96,67,3.71,TL,2020-07-16 09:22:25
130,Acapulco,16.86,-99.89,78.51,82,43,5.41,MX,2020-07-16 09:22:25
131,Key West,24.56,-81.78,82.99,83,40,3.36,US,2020-07-16 09:22:25
132,Fort Nelson,58.81,-122.7,55.76,78,100,4.29,CA,2020-07-16 09:21:26
133,Klaksvik,62.23,-6.59,51.8,100,90,14.99,FO,2020-07-16 09:22:26
134,Kamenka,51.32,42.77,75.99,39,0,11.99,RU,2020-07-16 09:19:39
135,Eyl,7.98,49.82,94.24,32,93,32.32,SO,2020-07-16 09:20:08
136,San Quintin,30.48,-115.95,65.26,90,21,9.93,MX,2020-07-16 09:22:26
137,Yellowknife,62.46,-114.35,52.0,93,20,4.7,CA,2020-07-16 09:22:26
138,Nikolskoye,59.7,30.79,62.6,59,75,13.42,RU,2020-07-16 09:22:27
139,Vanimo,-2.67,141.3,80.73,79,3,5.21,PG,2020-07-16 09:22:27
140,Khor,47.89,134.95,80.38,85,0,7.0,RU,2020-07-16 09:20:19
141,Mar Del Plata,-38.0,-57.56,46.0,70,100,13.53,AR,2020-07-16 09:20:28
142,Isangel,-19.55,169.27,69.8,88,22,3.36,VU,2020-07-16 09:22:27
143,Cape Town,-33.93,18.42,63.0,51,0,2.24,ZA,2020-07-16 09:18:08
144,Bethel,41.37,-73.41,66.0,93,90,6.93,US,2020-07-16 09:22:28
145,Ostrovnoy,68.05,39.51,63.18,53,85,6.42,RU,2020-07-16 09:22:28
146,Barrow,71.29,-156.79,35.6,93,90,8.05,US,2020-07-16 09:19:25
147,Barranca,-10.75,-77.77,60.12,85,94,4.61,PE,2020-07-16 09:22:28
148,Bela,25.93,81.98,98.22,47,57,12.8,IN,2020-07-16 09:22:29
149,Fortuna,40.6,-124.16,54.0,100,1,1.66,US,2020-07-16 09:22:29
150,Lagoa,39.05,-27.98,67.5,76,100,11.23,PT,2020-07-16 09:17:46
151,Tecoanapa,16.52,-98.75,78.26,81,6,3.65,MX,2020-07-16 09:22:29
152,Belaya Gora,68.53,146.42,45.03,72,99,6.87,RU,2020-07-16 09:22:30
153,Pasighat,28.07,95.33,82.65,80,97,4.97,IN,2020-07-16 09:22:30
154,Pujili,-0.95,-78.68,43.0,94,100,9.37,EC,2020-07-16 09:22:30
155,Kavaratti,10.57,72.64,84.2,79,90,9.17,IN,2020-07-16 09:22:30
156,Charleston,32.78,-79.93,80.01,100,1,2.73,US,2020-07-16 09:20:42
157,Zhezkazgan,47.8,67.71,93.2,17,0,20.13,KZ,2020-07-16 09:22:31
158,Oltu,40.55,42.0,77.76,41,0,3.6,TR,2020-07-16 09:22:31
159,Oksfjord,70.24,22.35,64.4,72,98,6.93,NO,2020-07-16 09:22:05
160,Aksu,41.12,80.26,90.25,18,12,5.75,CN,2020-07-16 09:22:31
161,Nhulunbuy,-12.23,136.77,75.2,69,44,10.29,AU,2020-07-16 09:22:31
162,Hunfeld,50.68,9.77,57.99,91,100,1.54,DE,2020-07-16 09:22:32
163,Vao,-22.67,167.48,69.98,68,2,18.92,NC,2020-07-16 09:22:32
164,Geraldton,-28.77,114.6,66.2,82,40,10.29,AU,2020-07-16 09:17:35
165,Husavik,66.04,-17.34,53.6,87,75,5.82,IS,2020-07-16 09:22:32
166,Qaanaaq,77.48,-69.36,41.59,83,77,4.76,GL,2020-07-16 09:19:36
167,Marsh Harbour,26.54,-77.06,81.66,78,3,11.86,BS,2020-07-16 09:22:33
168,Bambanglipuro,-7.95,110.28,81.36,76,16,12.53,ID,2020-07-16 09:22:33
169,Alice Springs,-23.7,133.88,59.0,33,0,9.17,AU,2020-07-16 09:22:33
170,Sambava,-14.27,50.17,78.06,62,0,16.2,MG,2020-07-16 09:22:33
171,Susanville,40.42,-120.65,64.4,27,1,8.05,US,2020-07-16 09:22:33
172,Faanui,-16.48,-151.75,78.1,83,64,12.86,PF,2020-07-16 09:22:34
173,Bundu,23.18,85.58,86.0,66,75,4.7,IN,2020-07-16 09:22:34
174,Chachapoyas,-6.23,-77.87,49.17,89,44,3.49,PE,2020-07-16 09:22:34
175,Juba,4.85,31.58,72.59,86,100,0.34,SS,2020-07-16 09:22:34
176,Pathein,16.78,94.73,85.19,73,100,12.24,MM,2020-07-16 09:22:35
177,Ancud,-41.87,-73.82,50.0,100,90,8.05,CL,2020-07-16 09:22:35
178,Tiarei,-17.53,-149.33,75.2,88,75,4.7,PF,2020-07-16 09:22:35
179,Ridgecrest,35.62,-117.67,79.0,34,1,8.05,US,2020-07-16 09:20:24
180,Lorengau,-2.02,147.27,83.1,69,46,5.88,PG,2020-07-16 09:20:04
181,Barcelos,41.54,-8.62,87.01,28,9,14.99,PT,2020-07-16 09:22:36
182,Elko,41.0,-115.5,63.0,49,1,5.82,US,2020-07-16 09:22:36
183,Kruisfontein,-34.0,24.73,60.64,30,0,3.62,ZA,2020-07-16 09:22:36
184,Avera,33.19,-82.53,75.2,83,1,3.36,US,2020-07-16 09:22:36
185,Cocorit,27.58,-109.97,86.25,50,86,5.75,MX,2020-07-16 09:22:36
186,Hobyo,5.35,48.53,86.29,55,99,27.16,SO,2020-07-16 09:22:37
187,Batagay-Alyta,67.8,130.41,56.12,46,87,2.35,RU,2020-07-16 09:22:37
188,Lompoc,34.64,-120.46,57.2,87,6,3.36,US,2020-07-16 09:22:37
189,Taoudenni,22.68,-3.98,101.23,26,0,10.54,ML,2020-07-16 09:22:37
190,Praia,14.92,-23.51,78.8,74,75,9.17,CV,2020-07-16 09:22:38
191,Berlevag,70.86,29.09,60.8,63,35,8.05,NO,2020-07-16 09:22:38
192,Lubao,14.92,120.55,93.0,64,68,7.0,PH,2020-07-16 09:22:38
193,Balkhash,46.84,74.98,89.6,27,0,13.42,KZ,2020-07-16 09:22:38
194,Aykhal,66.0,111.5,66.2,48,75,13.42,RU,2020-07-16 09:22:38
195,Tual,-5.67,132.75,79.18,85,81,20.87,ID,2020-07-16 09:22:39
196,Saint-Georges,12.06,-61.75,82.4,83,20,9.17,GD,2020-07-16 09:22:39
197,Marawi,8.0,124.29,84.0,77,100,5.01,PH,2020-07-16 09:22:39
198,Sao Joao Da Barra,-21.64,-41.05,64.42,85,75,8.12,BR,2020-07-16 09:22:39
199,Sibolga,1.74,98.78,83.25,77,99,4.99,ID,2020-07-16 09:22:40
200,Maniitsoq,65.42,-52.9,42.66,86,99,3.49,GL,2020-07-16 09:22:40
201,Saraland,30.82,-88.07,78.8,100,1,3.36,US,2020-07-16 09:22:40
202,Brae,60.4,-1.35,53.6,100,90,14.99,GB,2020-07-16 09:22:40
