City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
181,avera,1,US,clear sky,41,33.19,-82.53,95.0,0.0,0,8.05
182,ahipara,100,NZ,overcast clouds,87,-35.17,173.17,60.82,0.0,0,12.57
183,bowen,40,AU,scattered clouds,93,-20.02,148.23,66.99,0.0,0,1.12
184,mecca,70,SA,broken clouds,16,21.43,39.83,87.57,0.0,0,4.16
185,sioux lookout,75,CA,broken clouds,48,50.1,-91.92,86.0,0.0,0,10.29
186,mount gambier,62,AU,moderate rain,93,-37.83,140.77,46.4,1.16,0,16.11
187,esperance,40,AU,scattered clouds,100,-33.87,121.9,46.4,0.0,0,5.82
188,vardo,99,NO,overcast clouds,92,70.37,31.11,50.63,0.0,0,2.33
189,talnakh,75,RU,broken clouds,93,69.49,88.4,50.0,0.0,0,4.47
190,faanui,94,PF,overcast clouds,84,-16.48,-151.75,75.31,0.0,0,18.7
191,bredasdorp,0,ZA,clear sky,93,-34.53,20.04,50.0,0.0,0,5.82
192,sisimiut,95,GL,overcast clouds,56,66.94,-53.67,55.26,0.0,0,1.41
193,olafsvik,34,IS,scattered clouds,82,64.89,-23.71,47.3,0.0,0,15.59
194,lar,100,IN,overcast clouds,70,26.2,83.97,86.86,0.0,0,4.83
195,axim,57,GH,broken clouds,92,4.87,-2.24,75.18,0.0,0,6.51
196,upernavik,0,GL,clear sky,54,72.79,-56.15,48.31,0.0,0,6.17
197,belfast,38,GB,scattered clouds,76,54.58,-5.93,53.6,0.0,0,5.82
198,torbay,40,CA,scattered clouds,48,47.67,-52.73,62.6,0.0,0,10.29
199,camacha,40,PT,scattered clouds,88,33.08,-16.33,69.8,0.0,0,16.11
200,foumban,100,CM,light rain,100,5.73,10.9,64.09,0.84,0,0.29
201,cidreira,0,BR,clear sky,86,-30.18,-50.21,65.48,0.0,0,9.78
202,ginda,39,IN,light rain,88,30.69,78.49,65.55,0.16,0,1.16
203,sal rei,20,CV,few clouds,78,16.18,-22.92,77.0,0.0,0,8.05
204,nikolsk,100,RU,light rain,96,53.72,46.07,58.17,0.72,0,6.11
205,harper,14,LR,few clouds,86,4.38,-7.72,75.83,0.0,0,7.05
206,cache creek,40,CA,scattered clouds,56,50.81,-121.32,72.0,0.0,0,3.36
207,korla,98,CN,overcast clouds,73,41.76,86.15,88.0,0.0,0,3.0
208,bethel,1,US,clear sky,42,41.37,-73.41,88.0,0.0,0,6.93
209,ribeira grande,6,PT,clear sky,81,38.52,-28.7,69.42,0.0,0,11.05
210,bagdarin,100,RU,overcast clouds,70,54.43,113.6,54.97,0.0,0,6.69
211,longyearbyen,75,SJ,shower rain,70,78.22,15.64,46.4,0.0,0,5.82
212,bongandanga,91,CD,overcast clouds,95,1.5,21.05,68.72,0.0,0,1.23
213,inhambane,15,MZ,few clouds,80,-23.86,35.38,64.24,0.0,0,2.53
214,garissa,81,KE,broken clouds,58,-0.45,39.64,75.4,0.0,0,22.7
